City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
208,Mogadishu,SO,82.27,scattered clouds,2.0371,45.3438,Hotel Juba
218,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
225,Sugod,PH,79.9,overcast clouds,12.987,124.0805,Jefstar Resort and Events venue
228,Dwarka,IN,84.27,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
233,Bengkulu,ID,78.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
234,Lahat,ID,75.15,light rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
235,Kavaratti,IN,81.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
240,Bac Lieu,VN,85.87,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
244,Benicarlo,ES,82.9,clear sky,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
251,Tucumcari,US,75.04,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
254,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Beach Rotana
256,Kodinar,IN,84.92,clear sky,20.7903,70.7031,residency of N.B vadhel
257,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
258,Tabuk,PH,77.85,moderate rain,17.4189,121.4443,Golden Berries Hotel and Convention
265,Tiznit,MA,80.13,clear sky,29.5833,-9.5,
269,Korla,CN,78.44,overcast clouds,41.7597,86.1469,Gulisitan Hotel
270,Lorengau,PG,80.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
274,Namatanai,PG,79.74,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
275,Poum,NC,76.82,clear sky,-20.2333,164.0167,
280,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
285,Hithadhoo,MV,83.5,overcast clouds,-0.6,73.0833,Scoop Guest House
286,Harrison,US,80.76,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
301,Sturgis,US,75.0,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
307,Auki,SB,76.93,scattered clouds,-8.7676,160.7034,Auki Motel
308,Namibe,AO,79.23,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
